donorID,cell,symbol,ENSEMBLID,batch,cryo.rank.pos,fresh.rank.pos,cryo.rank.neg,fresh.rank.neg,cryo.FC,fresh.FC
AM21,AM,,ENSG00000006740,same,724,5534,13569,8845,2.843184112378879,0.2799056109522312
AM18,AM,,ENSG00000006744,different,9200,7999,5180,6381,-0.14980781851866887,-0.0558168619324837
AM21,AM,,ENSG00000006744,same,10822,9471,3558,4909,-0.46767392708910194,-0.22505362157431197
AM18,AM,,ENSG00000006747,different,13298,3332,1081,11048,-1.9122860064483074,0.2871219139304596
AM21,AM,,ENSG00000006747,same,1903,727,12475,13640,1.153398786702451,2.6777825590728925
AM18,AM,,ENSG00000006756,different,10971,6553,3409,7827,-0.45426623891301254,0.03742770076520596
AM21,AM,,ENSG00000006756,same,11163,3999,3217,9341,-0.5523145576445607,0.3558544641855299
AM18,AM,,ENSG00000006757,different,10086,11520,4294,2860,-0.280277542411548,-0.38654191163264295
AM21,AM,,ENSG00000006757,same,12765,5066,1614,9293,-1.2304508750161731,0.35585446418552946
AM18,AM,,ENSG00000006831,different,3688,4866,10692,9514,0.3517568927103536,0.1567342442220614
AM21,AM,,ENSG00000006831,same,6074,7354,8306,7026,0.07957266379667693,0.05082782087320403
AM18,AM,,ENSG00000006837,different,13604,10896,689,3480,-2.5320139253301406,-0.30417415938762576
AM21,AM,,ENSG00000006837,same,12315,13982,2063,360,-0.9256966618640896,-3.551036131422989
AM18,AM,,ENSG00000007038,different,8914,4182,5466,10198,-0.11407069487588561,0.18927842340968182
AM21,AM,,ENSG00000007038,same,3039,11349,11341,3031,0.585031927924831,-0.6010768139225844
AM18,AM,,ENSG00000007047,different,6801,5902,7579,8478,0.10307205481685155,0.0792045270596935
AM21,AM,,ENSG00000007047,same,3229,1792,11151,12588,0.5316211813651854,1.0989788512305112
AM18,AM,,ENSG00000007080,different,7505,6498,6872,7882,0.034332897223668724,0.04118723873534513
AM21,AM,,ENSG00000007080,same,8262,10805,6118,3575,-0.08794022239483112,-0.4627949275743841
AM18,AM,,ENSG00000007129,different,11919,13025,2461,1355,-0.7219749187013247,-0.7450735343548045
AM21,AM,,ENSG00000007129,same,12210,12800,2170,1579,-0.8796181654536896,-1.2454560306231106
AM18,AM,,ENSG00000007168,different,3464,5775,10916,8605,0.38672134019851523,0.08879248565322495
AM21,AM,,ENSG00000007168,same,6416,3967,7964,10413,0.03802758318992261,0.3622950777433589
AM18,AM,,ENSG00000007174,different,4368,14211,9221,112,0.27534099672746315,-2.648557105102684
